 ;ID de cuidad-1-1-1-0|Nombre de Cuidad-3-25-0-1|Edad-1-1-0-0|Departamentos de policia-1-1-0-0|Estado-3-1-0-0|;0;1; ;                                                                                                                                                                                                                                                                                                                                                                                              
0;Nombre de Cuidad0;21;5985;Estado0;| | |                                                                                                                                                                                                                      
1;Nombre de Cuidad1;57;9134;Estado1;| | |                                                                                                                                                                                                                      
2;Nombre de Cuidad2;55;7106;Estado2;| | |                                                                                                                                                                                                                      
3;Nombre de Cuidad3;73;6388;Estado3;| | |                                                                                                                                                                                                                      
4;Nombre de Cuidad4;61;1353;Estado4;| | |                                                                                                                                                                                                                      
5;Nombre de Cuidad5;80;1317;Estado5;| | |                                                                                                                                                                                                                      
6;Nombre de Cuidad6;28;3306;Estado6;| | |                                                                                                                                                                                                                      
7;Nombre de Cuidad7;54;9395;Estado7;| | |                                                                                                                                                                                                                      
8;Nombre de Cuidad8;35;9385;Estado8;| | |                                                                                                                                                                                                                      
9;Nombre de Cuidad9;20;2473;Estado9;| | |                                                                                                                                                                                                                      
10;Nombre de Cuidad10;14;6932;Estado10;| | |                                                                                                                                                                                                                   
11;Nombre de Cuidad11;37;8607;Estado11;| | |                                                                                                                                                                                                                   
12;Nombre de Cuidad12;89;5067;Estado12;| | |                                                                                                                                                                                                                   
13;Nombre de Cuidad13;71;6853;Estado13;| | |                                                                                                                                                                                                                   
14;Nombre de Cuidad14;71;7549;Estado14;| | |                                                                                                                                                                                                                   
15;Nombre de Cuidad15;75;2558;Estado15;| | |                                                                                                                                                                                                                   
16;Nombre de Cuidad16;23;6160;Estado16;| | |                                                                                                                                                                                                                   
17;Nombre de Cuidad17;54;9883;Estado17;| | |                                                                                                                                                                                                                   
18;Nombre de Cuidad18;58;8068;Estado18;| | |                                                                                                                                                                                                                   
19;Nombre de Cuidad19;35;5872;Estado19;| | |                                                                                                                                                                                                                   
20;Nombre de Cuidad20;69;4309;Estado20;| | |                                                                                                                                                                                                                   
21;Nombre de Cuidad21;33;7231;Estado21;| | |                                                                                                                                                                                                                   
22;Nombre de Cuidad22;32;3812;Estado22;| | |                                                                                                                                                                                                                   
23;Nombre de Cuidad23;18;7871;Estado23;| | |                                                                                                                                                                                                                   
24;Nombre de Cuidad24;64;4625;Estado24;| | |                                                                                                                                                                                                                   
25;Nombre de Cuidad25;79;6848;Estado25;| | |                                                                                                                                                                                                                   
26;Nombre de Cuidad26;56;5230;Estado26;| | |                                                                                                                                                                                                                   
27;Nombre de Cuidad27;99;6638;Estado27;| | |                                                                                                                                                                                                                   
28;Nombre de Cuidad28;82;2074;Estado28;| | |                                                                                                                                                                                                                   
29;Nombre de Cuidad29;10;2248;Estado29;| | |                                                                                                                                                                                                                   
30;Nombre de Cuidad30;45;5145;Estado30;| | |                                                                                                                                                                                                                   
31;Nombre de Cuidad31;44;7532;Estado31;| | |                                                                                                                                                                                                                   
32;Nombre de Cuidad32;16;1213;Estado32;| | |                                                                                                                                                                                                                   
33;Nombre de Cuidad33;29;4577;Estado33;| | |                                                                                                                                                                                                                   
34;Nombre de Cuidad34;61;5900;Estado34;| | |                                                                                                                                                                                                                   
35;Nombre de Cuidad35;15;5080;Estado35;| | |                                                                                                                                                                                                                   
36;Nombre de Cuidad36;14;8669;Estado36;| | |                                                                                                                                                                                                                   
37;Nombre de Cuidad37;66;3567;Estado37;| | |                                                                                                                                                                                                                   
38;Nombre de Cuidad38;43;3255;Estado38;| | |                                                                                                                                                                                                                   
39;Nombre de Cuidad39;67;5211;Estado39;| | |                                                                                                                                                                                                                   
40;Nombre de Cuidad40;12;9545;Estado40;| | |                                                                                                                                                                                                                   
41;Nombre de Cuidad41;20;5826;Estado41;| | |                                                                                                                                                                                                                   
42;Nombre de Cuidad42;62;6584;Estado42;| | |                                                                                                                                                                                                                   
43;Nombre de Cuidad43;45;6763;Estado43;| | |                                                                                                                                                                                                                   
44;Nombre de Cuidad44;23;4712;Estado44;| | |                                                                                                                                                                                                                   
45;Nombre de Cuidad45;42;7874;Estado45;| | |                                                                                                                                                                                                                   
46;Nombre de Cuidad46;90;1785;Estado46;| | |                                                                                                                                                                                                                   
47;Nombre de Cuidad47;14;7148;Estado47;| | |                                                                                                                                                                                                                   
48;Nombre de Cuidad48;51;9285;Estado48;| | |                                                                                                                                                                                                                   
49;Nombre de Cuidad49;36;6315;Estado49;| | |                                                                                                                                                                                                                   
50;Nombre de Cuidad50;91;3212;Estado50;| | |                                                                                                                                                                                                                   
51;Nombre de Cuidad51;25;7710;Estado51;| | |                                                                                                                                                                                                                   
52;Nombre de Cuidad52;76;1093;Estado52;| | |                                                                                                                                                                                                                   
53;Nombre de Cuidad53;85;3545;Estado53;| | |                                                                                                                                                                                                                   
54;Nombre de Cuidad54;80;5153;Estado54;| | |                                                                                                                                                                                                                   
55;Nombre de Cuidad55;49;6748;Estado55;| | |                                                                                                                                                                                                                   
56;Nombre de Cuidad56;34;9725;Estado56;| | |                                                                                                                                                                                                                   
57;Nombre de Cuidad57;73;2162;Estado57;| | |                                                                                                                                                                                                                   
58;Nombre de Cuidad58;58;8148;Estado58;| | |                                                                                                                                                                                                                   
